ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
9745,12765,19348,10966,11923,30281
6401,10056,8541,8830,9495,25740
6168,9840,7895,9763,9363,25144
6303,10204,8095,8839,9240,25325
5952,10442,8822,8950,9731,25980
6118,9766,8099,8624,9478,25760
6228,10615,8476,8502,9408,25418
5996,10545,8287,8778,9270,25589
5947,10513,8388,9273,9320,25384
5835,10120,8251,9220,8539,49316
6274,10219,8092,9655,9694,25774
5954,10447,7725,8518,8858,24950
6125,9578,7687,9294,9440,25553
6029,10379,8114,9659,9770,26148
5808,10054,8056,9100,9128,24996
6139,10083,7863,8719,9125,25152
6089,10034,8261,9078,9129,25355
6033,9827,7752,8472,9295,25409
5712,9549,7292,8851,9481,25782
5888,9952,8074,9295,8804,24555
6089,10485,8282,8803,9545,25590
5927,10588,8546,9173,9674,25719
6163,9896,7968,8741,8802,24904
6270,10004,8218,8350,9650,25630
5889,9593,7396,8927,8978,25141
6002,10433,8011,9318,9834,25769
6185,9823,8146,9154,9697,25822
6311,10039,8239,8821,9966,26300
5986,10144,7617,9659,9045,25034
6171,9553,7526,8619,9245,25399
6114,9889,8362,8571,8950,25347
5794,10127,8178,8933,9142,25379
5935,9713,7554,9513,9141,25377
6094,10138,7995,8922,9271,24957
5797,9616,7718,8783,9316,25542
6054,10405,8164,9078,9594,25670
5969,10493,8510,9000,9563,25837
5883,10344,8086,8809,9353,37147
6386,11111,9062,9262,10652,27837
6661,10769,8451,10439,9875,27536
6843,11215,9361,10433,10436,28105
6357,10749,8351,9276,10125,37198
6112,10287,8327,7930,150042,28384
6512,11106,8192,9323,10092,27183
6409,10652,8360,10953,9802,27081
6586,11710,9441,8465,9961,27255
6481,11265,8792,9383,10432,36625
6588,11191,8229,9515,9886,27112
6646,10926,8830,10276,10004,27369
6494,10982,8907,9440,10406,27797
6566,10941,8828,10151,9628,27571
6451,10417,7716,9424,10208,27687
6304,10643,8665,8966,9692,27204
6396,10717,8968,9427,9935,27661
6387,11219,8790,9406,9610,26797
6424,11129,9188,10228,9893,27660
6607,10694,7459,10832,9591,27144
6833,10915,8466,10169,10102,27599
6485,11102,9029,9137,10551,27559
6605,11067,8986,9437,10231,27741
6609,10642,8306,10320,10305,27147
6629,10847,8725,9950,9713,27093
6567,10658,8678,9577,10062,27731
6684,10466,8654,9959,10140,27509
6738,10358,7927,11183,10401,27791
6451,10658,8435,9153,9771,27272
6645,10412,8353,9864,10425,27670
6489,10889,8879,9592,10062,27393
6383,10931,8579,9346,9988,27176
6424,10725,8643,9505,10090,27248
6309,10693,8815,9838,9783,26958
6593,10905,8966,9705,13819,27809
6703,10908,8390,10615,10307,27715
6435,11173,8468,8443,9631,27112
6477,10859,8793,8776,9982,27464
6603,10320,8011,10110,10217,27811
6534,10726,8457,10268,9726,26821
6439,10449,7693,9200,9901,27234
6463,10838,8566,9574,9824,27531
6424,10553,9123,10428,10000,27423
6736,11072,8988,10066,10420,27533
6610,10994,8323,9647,10362,27650
6422,10673,8603,8722,9757,27235
6671,10918,8785,8769,10087,46488
7581,12613,10251,11455,11986,32856
7793,13119,10061,12198,11452,32178
7490,12653,9875,10721,11833,32351
7873,13355,11151,11512,12270,33109
7591,12855,9929,12770,12101,32675
7720,12780,9773,11312,12283,32863
7738,13352,10485,10972,11109,31655
7975,12799,10991,11394,12106,32619
7709,12855,10723,11605,11985,32586
7766,12345,10445,10721,11838,32391
7452,13739,10344,10945,11687,32124
7572,12719,9814,13225,12163,32880
7900,12720,10436,11612,11709,32803
7937,12545,10156,10348,11815,32947
7780,13056,10291,11599,11623,32768
7718,12493,9915,11876,12164,32703
7758,13712,11179,11036,11922,32972
7803,12813,10561,11373,11883,32930
7800,12476,9841,10931,11377,32328
7801,13376,10475,11279,12048,32876
7826,12529,9641,11147,12618,33100
7794,12917,10437,11875,11900,32317
7861,12804,9526,10666,12531,33157
7676,12740,10488,11625,11356,32113
8173,12270,10267,11642,12324,32767
7985,12879,10552,12128,11988,32836
7544,12883,10260,12434,11982,32767
7654,12360,10028,12494,13075,34027
7659,12897,9818,11655,11483,32108
7960,13679,10457,10720,12399,33238
7618,12844,10794,12474,12401,56186
