ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
924,1375,595,867,1004,29039
482,647,485,553,537,19535
508,682,605,600,662,19518
549,676,425,523,648,30857
521,671,539,522,538,19333
385,416,369,334,371,18839
489,575,491,601,588,18993
457,521,452,549,520,18955
421,621,441,468,468,19015
407,710,509,585,628,30537
462,574,463,524,509,19015
400,603,471,430,427,30754
394,694,471,513,620,19373
360,519,469,397,395,30715
419,600,424,464,550,18978
436,598,7857,444,498,18936
426,494,396,486,445,22797
354,486,444,487,463,19098
409,519,426,441,455,19109
420,477,385,382,451,18892
410,644,460,435,485,18785
454,599,476,560,502,26244
430,617,479,468,559,19002
405,583,480,460,484,24168
451,523,399,555,484,19297
506,564,465,578,641,18829
402,506,356,460,446,18755
367,534,473,483,442,18918
393,472,330,388,448,18862
463,501,404,436,401,18768
408,538,407,409,457,49601
507,597,361,762,432,19504
422,567,393,459,422,20142
426,724,501,712,576,18752
395,450,416,507,468,19831
388,506,356,506,475,19514
704,526,382,423,457,19324
388,586,482,556,529,19080
467,499,349,427,436,19824
685,660,482,637,575,19676
358,540,366,398,483,19109
411,578,470,514,478,19046
377,544,509,473,472,19213
426,476,371,463,481,19826
354,555,496,363,410,19477
475,528,446,472,513,19266
399,729,438,557,573,19239
342,462,346,370,418,19414
370,605,447,508,450,19475
430,475,372,387,436,19574
379,475,454,377,438,19281
470,639,449,469,469,19221
381,603,450,535,543,19490
394,530,402,482,450,19859
315,467,391,426,437,18942
383,491,372,385,401,19521
504,677,436,482,462,19326
487,547,490,462,763,19150
432,593,550,522,540,19075
474,600,598,561,564,19101
418,492,471,476,450,19302
414,422,374,418,400,19048
442,629,395,379,417,18778
411,615,358,445,443,19069
403,538,437,531,489,19250
507,601,386,477,428,18833
412,587,473,500,545,18876
432,549,501,495,456,18964
373,527,394,452,400,18929
369,518,409,483,529,19100
452,544,394,452,474,19155
398,602,376,432,435,18962
366,662,490,586,556,19101
360,557,461,597,518,19055
592,543,550,472,444,18977
387,536,464,458,470,19098
374,458,440,395,395,18874
392,493,334,453,456,19107
377,560,387,402,407,20056
455,482,371,419,419,19363
382,531,458,533,494,19033
358,547,418,484,450,19171
408,520,446,523,530,20023
397,546,406,405,430,19113
515,491,488,442,443,18975
355,488,435,411,441,19406
605,562,413,435,444,19447
401,477,425,423,413,19344
377,646,560,543,543,19971
405,543,494,382,419,19054
450,508,468,471,365,18890
427,502,498,423,427,19731
307,521,520,497,486,19305
339,437,422,343,380,19300
384,633,561,545,589,19460
389,561,474,493,437,19231
391,495,463,438,385,19195
522,623,510,528,490,19280
382,602,479,573,571,19904
353,554,411,12973,348,18341
325,464,433,361,356,17982
354,469,434,441,423,17733
320,492,438,371,375,17638
348,527,440,489,512,17895
387,496,477,407,425,17796
366,534,510,463,444,17783
325,519,639,445,434,17878
538,535,392,479,446,17993
349,513,396,387,473,48464
495,660,464,462,416,17763
357,535,471,502,479,17521
361,564,393,556,499,17579
329,507,487,477,542,17566
337,513,346,408,384,17485
391,534,421,502,552,17551
382,547,488,492,467,18450
380,479,439,476,411,17913
344,552,396,508,480,17503
314,526,516,404,448,17521
321,519,438,458,434,18130
343,440,407,344,379,17472
353,485,339,455,419,17742
363,451,378,360,413,18386
397,505,451,543,496,17647
373,535,501,460,407,17517
364,533,508,431,459,17633
346,479,455,379,392,17757
376,488,482,411,419,17725
267,513,457,396,380,17728
321,419,416,293,337,34247
357,532,460,10673,437,17403
431,575,419,487,459,17566
326,458,312,368,403,17453
361,498,466,490,473,17605
335,412,418,343,347,17517
306,455,422,452,430,17515
326,441,467,449,468,17736
351,508,384,426,376,17695
384,488,429,446,393,17684
382,555,389,406,410,18110
461,466,386,444,493,17848
344,469,404,448,435,17714
424,553,415,549,551,17854
353,408,322,302,309,18089
350,512,395,472,472,17773
366,492,450,432,426,18171
327,524,427,426,402,17727
415,447,380,375,397,18110
364,465,398,402,387,17639
397,464,362,381,378,17679
360,432,419,362,425,17699
335,547,371,361,426,17649
346,454,403,415,393,18158
384,495,405,388,395,17670
348,435,404,353,377,17515
331,506,461,431,454,17672
371,580,560,497,535,17691
355,456,456,397,390,17538
349,568,547,470,479,17568
346,507,437,392,395,17494
396,514,433,474,452,17396
397,522,474,462,468,17525
377,488,450,430,412,17517
401,533,463,493,484,17599
365,456,503,454,476,17528
363,453,428,417,401,17524
390,476,399,531,410,17518
369,493,363,427,461,17530
373,577,429,495,498,17551
341,462,330,381,394,17523
337,592,476,451,502,17721
390,525,439,576,502,17451
353,523,396,516,507,17565
360,467,427,390,430,17534
333,380,335,336,344,17659
381,434,400,387,420,17769
341,484,489,420,417,17751
393,521,524,414,374,17821
380,490,476,412,395,17651
357,492,497,517,521,17761
383,517,417,419,456,17678
318,521,473,480,441,17742
319,511,412,481,531,17788
381,508,395,340,390,17722
380,546,413,464,481,17715
383,423,345,378,371,17660
296,468,445,387,440,17721
337,464,404,414,416,17653
354,478,441,377,391,17662
338,544,521,466,448,17856
351,502,456,412,375,17645
363,486,409,374,387,17684
327,595,411,470,502,17757
348,529,427,463,485,35511
427,477,454,459,470,33274
525,628,416,498,463,29243
348,385,316,367,392,17888
344,454,352,400,417,17904
361,493,354,449,442,17487
320,513,411,457,423,17518
359,509,388,484,424,17487
366,447,372,338,372,17474
319,485,383,419,426,17557
338,551,470,420,454,17511
372,434,411,493,412,17714
321,513,412,426,412,17696
376,510,348,399,457,17738
335,448,361,424,435,17644
395,551,448,429,365,17757
368,406,307,313,329,17581
322,511,366,521,451,18189
417,492,370,393,382,17527
357,588,478,446,476,17617
356,518,392,398,415,17676
342,523,394,515,470,18146
342,487,389,421,437,17612
389,535,487,434,420,17777
367,485,356,376,387,17507
390,500,381,456,463,18432
293,477,448,378,365,17498
313,478,389,506,490,17537
303,632,441,486,559,18064
385,483,391,454,417,18137
380,496,347,354,393,17589
375,514,373,413,438,17564
362,490,413,452,399,17649
339,474,467,439,399,17946
349,512,481,420,423,17516
368,474,437,419,375,17543
385,539,480,473,443,17590
322,506,391,314,354,17572
310,489,441,488,437,17594
350,444,392,388,343,17519
357,448,361,376,382,17539
319,441,354,351,407,17525
311,452,322,377,345,17642
492,695,511,471,410,19501
398,625,462,499,497,19127
405,459,442,381,434,19096
398,628,432,564,526,19296
427,504,394,425,440,19087
430,674,587,532,570,18990
403,489,443,426,385,18999
402,560,494,466,440,19114
342,510,393,404,399,18975
358,440,330,338,378,19018
369,663,477,592,538,19247
452,545,417,457,470,19078
405,506,444,490,448,19127
390,491,495,523,494,19214
410,574,547,507,491,19176
347,502,405,456,511,19034
367,445,444,425,482,19125
329,492,421,448,432,19149
349,592,572,514,513,19116
344,437,445,392,420,18938
369,547,492,430,396,18915
382,579,530,501,498,19030
325,483,450,456,437,18984
383,480,482,448,445,19511
437,662,567,546,586,19429
354,506,422,487,517,18951
359,515,467,459,436,18976
432,498,526,448,419,18953
371,600,597,600,524,19139
373,475,508,362,409,18980
382,575,510,477,482,19053
439,612,582,553,490,18904
387,450,359,428,445,18843
330,436,363,380,424,28068
325,481,391,473,437,17588
316,536,454,369,459,17505
338,561,352,349,354,17591
289,510,395,396,441,17642
392,509,398,428,451,17662
365,416,377,432,378,17789
379,534,395,508,503,17775
376,491,354,425,411,17741
392,417,366,387,345,17647
335,540,491,373,389,17656
397,566,441,437,429,17859
339,525,480,427,467,17744
348,471,439,429,456,17796
337,586,545,527,524,17705
350,508,437,398,392,18499
335,432,325,354,383,17648
331,551,439,483,474,17756
382,481,338,365,383,17692
338,536,460,438,453,17756
316,502,353,418,540,18552
383,472,367,442,453,17718
397,512,447,431,409,17800
311,413,344,335,346,17631
345,553,439,495,479,17783
382,565,423,502,536,17811
382,491,445,456,444,17705
377,452,406,418,426,17748
346,414,352,403,365,17490
303,572,391,441,451,17341
355,523,405,427,437,17491
415,458,376,404,437,17534
379,455,380,415,406,17432
371,496,397,428,412,17482
362,525,404,491,464,17484
334,427,331,354,367,20768
389,458,359,428,401,19008
403,574,502,553,520,20121
531,463,442,395,430,19107
340,487,457,506,498,19100
383,467,420,400,403,18942
649,576,423,417,491,19605
409,582,419,406,426,19034
437,655,456,540,507,19033
340,505,488,425,431,19003
400,537,508,440,465,19105
456,566,387,440,448,18990
365,499,347,411,390,19094
369,596,430,514,500,19065
380,481,354,421,456,19152
372,513,506,525,470,19283
306,508,417,524,464,19189
399,472,370,363,423,19296
343,512,401,390,433,18921
412,613,513,502,547,19323
385,568,420,524,472,19253
419,499,394,437,402,19841
415,587,454,542,503,19146
375,484,511,525,458,19065
373,530,513,416,423,19202
372,521,500,473,421,19073
401,498,423,383,459,19195
393,556,527,468,524,19366
355,448,462,343,364,19032
384,470,405,552,405,19020
392,556,517,528,532,19227
411,499,422,477,496,19113
375,8909,496,525,548,19140
387,589,475,528,461,18943
393,520,400,467,420,19601
507,532,419,422,392,18913
369,460,395,424,403,18882
419,513,441,422,459,18912
388,572,415,473,447,19149
363,565,437,450,477,19027
349,550,441,418,446,19107
326,575,456,459,423,19181
382,564,409,415,452,19158
310,539,432,432,467,19044
341,488,363,422,441,19084
322,504,375,406,432,18990
381,593,466,522,540,19080
376,621,423,550,543,19147
434,635,484,500,502,19209
387,581,595,485,540,19172
377,568,505,470,507,19084
440,579,513,596,521,19193
395,524,445,480,474,19188
345,472,422,465,454,19215
374,513,429,434,437,19105
377,583,452,441,434,18954
321,553,448,488,484,18997
376,556,467,493,495,19671
349,571,415,463,461,19087
399,446,371,426,405,18881
397,488,353,365,396,18798
403,545,409,515,514,18986
355,508,388,434,479,18929
362,558,479,492,473,18867
375,534,522,510,439,19049
337,496,415,455,437,19729
332,486,344,415,449,18873
361,563,443,469,540,18937
571,454,344,485,477,18961
394,459,398,405,431,18868
370,562,418,421,455,18924
290,437,326,343,384,19026
371,619,453,496,460,19147
364,565,463,466,488,19084
361,500,418,468,488,19250
382,509,398,434,438,19056
378,532,393,445,420,19253
412,543,438,499,464,19154
379,520,457,488,524,19104
361,507,402,421,382,19132
381,486,377,396,426,18941
399,519,360,421,442,18898
360,601,458,523,582,18913
379,564,446,436,512,19066
392,647,495,519,478,19009
393,520,385,462,385,19008
354,575,468,568,498,19145
402,606,502,584,543,19097
339,606,518,488,453,18863
399,493,424,463,522,18921
394,553,429,510,430,18897
413,589,514,545,521,18968
384,688,528,512,498,18951
376,500,382,520,453,18930
381,533,493,545,520,19026
409,478,456,529,465,19030
370,466,437,354,417,18914
375,675,441,631,563,19048
363,481,389,421,380,18917
353,516,469,409,399,19105
348,559,423,468,469,19030
380,602,453,570,650,19164
347,490,443,570,543,19280
374,455,450,426,415,19092
401,522,513,515,497,19236
374,507,360,442,502,19025
351,608,405,481,541,19278
400,610,441,394,404,19270
407,530,402,512,516,19302
377,478,379,440,413,19117
430,581,444,486,456,19162
378,536,496,357,412,19072
377,498,468,493,437,18951
362,443,336,313,364,18870
373,489,440,545,453,18846
412,481,369,582,511,19005
347,403,354,449,437,19200
398,477,492,498,509,19192
422,612,557,526,529,19428
409,548,505,568,512,20583
10300,573,464,511,542,62474
487,771,448,603,700,22519
430,536,415,635,594,21940
422,520,498,510,536,21934
395,528,511,452,498,21658
426,627,556,519,511,21583
472,743,605,622,691,21668
430,450,393,449,416,21738
476,716,512,576,585,21727
388,631,508,594,600,45779
494,750,490,517,561,21783
421,620,490,652,589,21572
368,559,459,500,421,21381
461,3191,585,509,490,21927
425,598,463,486,509,21491
397,563,445,500,525,21551
419,558,480,607,578,21699
434,558,521,465,477,21527
496,552,503,492,492,21584
430,608,604,512,556,21757
401,592,529,579,523,21842
358,559,446,523,519,21819
381,600,494,632,585,21931
377,636,542,552,581,21942
366,543,392,450,441,21654
470,500,468,472,432,21775
455,705,523,616,721,28699
490,589,503,739,574,21831
483,862,698,652,594,21730
510,652,599,628,554,22290
532,815,507,550,617,23430
423,751,467,484,532,23379
669,736,653,749,605,22687
521,620,487,538,543,23305
439,547,514,716,476,23878
534,833,506,585,567,24126
598,660,461,525,572,22994
481,630,549,563,503,21622
372,674,443,654,567,21607
412,519,481,534,530,21455
380,676,481,520,517,21608
462,670,649,572,568,21661
403,640,494,519,474,21448
466,649,508,542,523,21464
366,561,428,569,523,21528
476,563,497,456,536,21475
432,512,414,421,461,21703
551,630,478,507,499,21781
397,501,436,395,439,21726
457,566,499,493,481,21659
420,594,432,426,459,21797
475,658,552,531,576,21830
409,536,402,520,414,19141
336,569,447,496,547,19047
367,608,451,511,536,19291
545,767,458,520,533,19886
431,541,424,402,455,42309
546,729,505,543,458,19688
365,489,451,440,419,18899
424,648,469,536,576,19496
447,622,457,507,492,19585
