ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
51500862,358953313,208905407,251355260,364660537,445129669
51114639,357685198,199759842,255701620,344625695,441767499
50503928,354968220,200461069,256838013,347282639,449401803
50131397,360574989,203553321,255343743,383553929,493316099
91516048,372826641,236639992,465848843,425955364,552225359
136582205,460588201,238705037,313028288,380159137,509585370
71260482,437625212,236144597,313290692,376613182,531741864
108767977,466114121,237964476,275871048,382101524,457560123
58671847,389080653,213538314,268898915,354567566,466232700
54826579,399996001,248606229,391605557,362413873,455145763
50148898,365993418,201997958,261110758,342679880,447764931
51998255,356431136,201297645,256957249,342821639,446874502
52072973,363592253,211000986,272779307,346666096,442734783
50312120,357214361,200614796,254152540,341737335,439804707
50154995,358062326,201014515,256670924,344534654,445925188
50089856,355904338,200717362,254630266,341953648,442622516
50015545,353028721,197378587,250972586,341686945,441978671
50036606,355159426,200445522,254759792,342523293,443066037
50034099,354533391,201497623,255245197,340325641,442095909
50247222,356033080,200235792,255712187,341757836,441853587
50123076,355047352,200219693,255116977,341903467,442040130
50042049,356307786,198174344,256286634,341704177,441323335
50118766,356782366,200961472,252082413,341405527,443685338
50022318,356875107,200152919,256351856,341513634,440640212
50125793,353956173,201086976,255873063,342426271,440311741
50157942,353938111,200288379,256997250,342555592,463934512
52244385,355655196,226698846,337390485,363464478,451186494
50848297,355580788,199809535,289041956,349982756,485455089
117788106,415210033,234529171,307920019,361230997,464899826
52445232,364443172,209037676,269861601,373087297,471051162
53277794,383059206,245754555,375250350,390851604,497928415
54818801,357317151,203984236,260081273,349240676,476436708
64304035,374089704,216275253,256622311,342818931,458451160
52812344,358478801,202800845,256511219,342652889,453531696
51674055,359384009,206650729,255181733,344244794,450412419
55351019,354668644,201823503,291302031,350713949,447610531
50669815,356677469,203487030,258616868,359201598,445982316
52617573,356261218,200714877,257611587,342193280,441530509
50028812,356510000,203426395,261105715,345000344,446815600
50127421,356759146,202518531,261032599,344780078,448563954
52524332,421640401,237972537,315895130,390858622,461266106
52314130,354046055,209398412,303861346,380553451,469336500
53549525,388691243,256078048,307968595,385841891,618175782
86216241,541970671,248883246,379882018,538959672,559291348
64322115,421878016,257861929,318550170,380759096,576475955
59091710,379974432,209241323,278226271,394307203,469712154
59763939,364144970,218647240,304861504,382523335,507312253
67754976,375288186,214087196,283349944,367524563,481091670
64578655,370416988,219912713,272872800,361977162,482319022
56046829,367729467,224037102,282288888,354299809,460285005
58856155,376996586,211828131,287442096,351970785,455555635
53553950,364467138,219904922,264245613,350125897,453198279
53995179,362417627,206512657,262860613,349620653,458155462
52807096,373320042,211844965,265559236,351988883,457333226
54320667,363582121,211212367,265947061,350305210,459697594
58512188,363436053,207910598,264607689,349327252,455316241
50709204,361444578,212111987,266156514,369870188,472278340
51744423,366679622,207483387,260562696,358625028,451602475
50561060,361614482,209682601,282930484,359920690,461955883
53747773,366415468,213310079,289901770,363053666,463188603
53718556,419945864,213288661,265368299,347121049,465855470
50250938,361060970,221489362,284126211,361480441,452778503
51235770,364974552,209677251,262323753,363465120,452958057
51741815,419191884,216500001,265333393,359715281,444768959
50576261,355460317,200972399,255953479,342097056,442768016
50130402,357567093,200346417,255993938,348050521,464639654
55374485,362884978,213893312,257712016,346001720,442078649
50216597,356999604,204003893,254753643,342028289,443757554
50059722,356549719,202368305,255113304,342937665,444078141
55534433,373335607,202793230,266036459,347510817,446024158
50155928,356791014,204365629,258516254,345971484,446286046
70560786,361822751,202006242,257594471,344934234,446881606
50330347,356301934,203002732,256493416,345147967,445741135
51983335,357350283,201641628,258367357,343091664,442040483
50094612,357463813,203724493,257304473,343311687,447055232
50120729,358760305,208624627,264195097,351173456,466626656
53723648,366832865,210459152,288321175,361891739,458780085
56218500,368399411,211871623,262116833,348607820,474698791
58605017,362112788,202336062,259014268,342136842,442912555
50050872,357686042,201624163,263053346,358574293,450660271
50258730,355788012,205503543,285667036,352192894,446714969
51095215,356485907,206898515,259147434,352955799,451986131
52195221,359684217,200920255,255359449,349472461,463446926
53453955,369088097,219489668,346136501,367957093,507637066
61484114,374299235,205977958,261989576,409428696,468371826
55578358,363962471,213407548,257501063,357365437,443008504
50071210,357865870,225009172,268798946,359209042,447879668
50058375,369676056,217108780,262336273,366089852,442212163
50450428,359689815,208090539,259341901,343048922,444927960
50730632,360465911,207034966,260903793,347244936,455369802
54409156,358411416,211507293,265833266,348723729,450504551
52206012,360438918,205136786,267737746,348518053,446558518
51898174,360495231,203267973,259895387,353391272,505146318
64684454,378591295,218484317,274500680,356509818,447832559
53970527,362102490,214460580,265097902,343539420,449871778
55884283,371134035,213719242,255928316,355425606,461796978
53997490,359886659,216612993,256705313,349813951,456391633
54970514,365262796,201537988,265482391,349114057,468141521
53649992,364828079,208354589,342312679,361409950,487155094
59979209,371007663,206898805,284430237,361684629,482425557
56485218,360900484,200383831,256809005,341954466,471185659
60147989,364476819,203191347,261535112,361768613,470054888
50448527,365925430,205718776,262844068,347427501,453658667
57310189,365743834,217275958,277342236,361877794,455069548
52943472,371281143,214125056,270952969,358853496,449670685
53288187,365952420,212558772,285975774,365586686,453925892
54667733,369162965,216132330,287268771,366568541,466576670
60410473,370960695,205124643,272139743,347271047,458288615
53280309,358347995,206851910,263659389,348000131,461129727
53296804,367753457,212913344,357878652,408427397,461789440
64609231,364175146,209166909,259796301,347650787,528180881
55549807,365938361,205649659,260054726,351938935,442421924
49953618,358122836,201817384,256571279,342078511,485326491
53810725,387568094,213671015,265937603,350347774,457748205
61558504,369482477,205738715,273356714,349896345,452904718
51881852,365961926,216759077,286366122,369370341,486839579
56197645,361525382,204482699,263073097,348747059,445654505
50386353,355442268,201614219,256403081,343268658,447218426
50010432,357538708,227566257,271065715,379655273,463652168
52477540,359878995,200764240,256317706,341797247,443234963
48193949,354847367,205606355,254233905,336966291,446927205
50302041,356134971,200566356,251305233,338024758,441184782
50265370,350213294,205356122,259936429,343197755,468182957
56013443,359109687,205599322,259019184,346744818,460302155
50457804,357654644,201693475,255700506,342877550,449874878
54048861,359614266,204321007,256785394,343391253,445787108
55725631,367270974,201654323,267774962,342562185,443013224
49997205,357164027,201881683,256018436,343546373,447152336
56675884,361645074,201447534,263083931,360062991,447299318
50245549,361831584,203118012,266756376,352950388,446168498
50538909,355443797,201066400,270064710,349739497,458530327
55027620,360017727,200989900,260084840,348554761,450267152
52173014,360538413,205194784,261503214,360531467,456435216
52999817,386250081,227206578,309563598,379418185,453274355
56888222,347421744,220617730,274854939,343529327,496872306
87722735,376733373,206230797,407366855,369719774,621095049
74566255,409057994,250599312,348400532,410271910,517166920
87001482,482906989,266938537,452999331,498303972,589522679
108593621,414575383,224504671,344120559,390483795,556786944
100348157,392885702,219165378,387931402,390899628,636527773
54457103,416393829,238639980,386777033,439160702,551723298
69447198,411418969,233686399,331563513,422522303,593859955
113084041,438821450,258798306,305931656,393618070,605985650
57871409,383086808,222502262,293999761,424120771,549245669
102975731,424360417,270412870,346880454,423416802,535531514
62146995,406818905,282557443,449320538,450042335,633961886
74937502,414658502,256103484,396669670,515047957,614233958
145915556,434495097,323321223,392556815,398851850,507947658
102446829,414352740,217541963,402439558,373298483,494147725
61883773,375493156,221358269,354702554,387206030,524538496
86018191,385872093,229938019,329678465,384871341,549114884
129852304,436994224,254611179,395880886,395147039,520817805
70296709,387810394,223308374,326800806,403421859,544260975
57744744,391447104,230605750,308853083,401783347,510555268
69940364,390215721,235290517,312649479,393186300,494630771
66024893,393126408,223444040,293681383,385341751,482539759
56882443,378896034,229875723,308592370,372176937,501336824
72151312,390567425,209494010,276772047,361600297,514420377
55170366,370988691,206340059,267374674,351447987,457791367
50431445,358487454,202799336,264382332,368499397,467027104
50690928,359386234,205046456,257246845,347346473,447660055
50243302,358568654,208473143,270067226,344476164,452671393
50367331,355570226,205739173,258107083,345748642,446301226
50818158,357888473,202241263,268800428,347058541,452471984
50199080,378939789,214794174,277214377,387332250,523128253
62730530,379269361,223958228,292223190,360614716,468035741
58508076,401836101,231079994,293095004,360481241,448660008
51660146,358397051,201862344,258022264,354673742,445811501
51702579,381760686,210492251,257035337,346626583,475959675
50426119,360667639,202506811,259621879,346534375,444877639
52094514,367377802,216692215,267055247,347142624,446148051
51088101,360569988,203385607,263403901,366110567,448476724
50702477,356477685,201968963,286180481,350044415,450832928
50279000,378317319,222838308,307533110,375870390,485199223
50217184,355247810,202376245,263959820,343626867,444206781
56743721,368825544,223292444,266004352,344623381,460514127
58004770,369374742,202003118,263819010,368036250,461883839
50337564,356845139,202774287,257260924,344332149,455923712
50425048,360174513,211273406,280722239,363394396,461666108
50584084,357659596,209983951,264991987,345456342,443456800
50219953,359435701,202279058,256242355,343205313,443481023
50234659,359089005,201349672,254927825,343052538,443617700
50178285,357474945,202045729,256160668,344076397,461982567
51225647,359197231,203398332,265565043,343385138,456576255
50430888,372042343,225599945,261826387,366514714,506045024
51010028,360458073,202225021,268124328,344287678,443326963
50690860,359684103,202446892,258193649,345255680,444884417
50254777,361357617,209075009,262624185,343155914,446169174
50308101,357046534,204307098,256157235,344746109,442480955
50330172,359084858,203338724,260286082,343165337,444130434
53894646,356626354,203566736,256696017,349191449,446810223
49744166,360134126,205536657,270608132,343624441,446068722
52000138,359601533,202715580,259047689,344266411,444226687
50601337,356513915,202231541,262294489,350044419,451517357
52532830,357874793,203172439,263284698,345149562,445303472
50867626,355322793,201580172,258585765,343383088,443823554
68445873,383935078,229164675,279941978,347029206,443779071
50695820,359297113,206449262,282257793,361402006,467495641
50189387,356311815,219569234,273579447,362552954,452320754
53885468,360925732,203604368,276899548,360949175,444123307
50556482,354206748,205943733,259037808,341568077,443185226
50068978,355457497,202109182,255735758,343204304,443985826
50579241,356678848,202876809,262023283,343238652,444016659
50405317,359219966,201500340,256902659,344200358,445038135
49330306,358850122,201744272,256064474,343681214,443696798
50385383,355422532,202520898,264417958,344141227,445948231
50301806,365411815,201917918,256811980,342811218,442813747
50660094,361399016,202517776,259671495,346232762,443690159
51361227,360187606,204201056,271629603,368440814,447391721
50712075,355611393,201796171,259569870,358368375,481131685
64585387,377749483,202987008,268600651,345006055,445524194
50542734,360434012,218539781,261257821,343317350,443880036
50174072,370344168,205049143,264529067,354010703,448449606
52706853,357875243,211271114,285730427,350706998,446304658
52397055,369164314,208856324,271658366,353743660,478655072
56927653,367623550,244042791,281581881,389486700,476232391
60000658,369895698,214659055,258743768,335035001,429270811
49264252,342727815,194632645,251578415,329997312,428347262
49416560,345047621,196141516,248693188,332959464,426033409
49280309,345642877,195934506,250321967,333358695,425076680
49227992,340567597,194909030,249044105,329951115,427043093
55805496,374150805,222487985,290411256,366981950,453607893
54153969,368839176,219438734,276033438,365620880,471953971
53955492,374721496,217324010,257930408,345378662,455762713
52435408,361419329,205225248,257618940,331348258,464184494
56798217,359331926,203220341,267345878,359694344,487870307
51818239,363685601,205380351,266244621,347237199,452175371
53427446,367070241,212001282,280814505,358368030,476467042
63381365,369894964,208209443,269064096,351617523,471864137
56989803,372765605,221688710,273819558,351492422,455415411
53367100,362858708,203111989,261939560,348825198,446098198
54247976,367167579,205992457,261252209,350502770,448847466
50538501,359986429,203540229,259705913,349255706,451508192
52313337,357723425,204176530,263572873,353876859,451947248
50838712,359095583,203368997,265471406,346353828,448092100
55072832,359119408,204916250,256908651,349833923,446476745
50633442,358182948,203908415,265664190,345624271,436815655
51609735,341109963,195238293,249563625,331829135,425949544
48219322,344949857,193953284,248719236,333640081,431085804
49256341,343142170,195199373,253327318,331437219,428111307
48519386,343547475,194958700,248797678,330897741,428771563
48501155,342805434,194431702,252079630,333668173,434188543
50481827,365195213,196572095,255805508,330625735,442720477
48096244,342816195,194577643,245004269,335318974,427446675
48995398,340488730,193688137,259017011,335645901,426512431
48448879,344498290,197191892,248975837,336210818,430720654
48335955,342383990,199560113,251177973,337332969,429960571
50143778,344453402,195378043,249815430,329425662,427861927
58171736,346164325,195375040,245771471,331199523,426389433
48246076,341930998,199136530,247727491,329995446,430257843
48540125,342945973,194447846,249773183,328850732,426805851
50139821,352069438,205397189,257686143,346825752,447539650
51053045,356310541,202876377,260605097,345566190,446546310
52757246,358154461,204152253,261793904,346066056,454297096
51319262,357092260,203948261,263461179,348093415,449941961
56400574,360092575,204627176,258286570,349802975,449604596
50484703,359100685,203796610,266882282,344575592,448094132
57107160,358174416,205294932,259328678,345712870,447836634
