ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
967,1044,539,965,1056,27128
569,659,532,602,514,19227
463,634,491,608,555,18890
352,549,509,458,456,18972
464,550,488,564,568,18838
463,589,427,517,514,18777
408,600,452,495,481,18881
467,589,415,539,528,18860
444,556,445,517,480,18993
377,639,539,440,445,18934
452,557,449,507,554,18845
490,498,430,486,544,18879
392,561,381,524,484,18897
351,550,375,363,527,18734
450,682,473,473,472,18907
422,496,395,431,375,18813
455,612,469,514,504,18919
348,636,430,457,486,19148
434,502,405,382,383,18993
425,500,360,347,418,19167
493,573,355,520,532,19019
473,516,452,435,408,18945
466,540,481,430,486,18965
437,582,450,485,502,18972
369,456,381,491,483,18917
420,521,466,469,435,18884
380,508,396,475,468,18688
515,638,488,562,533,18862
391,495,371,347,376,18758
421,504,373,372,444,18905
452,547,394,502,493,18881
381,560,413,395,407,18887
498,544,466,514,494,18842
405,552,380,414,441,18965
489,505,391,460,503,19069
462,568,452,511,447,18945
446,669,531,551,547,19080
409,628,515,531,523,19014
404,529,424,453,444,18929
440,470,412,434,475,18948
418,579,470,514,490,18851
433,477,430,370,505,18800
431,520,456,440,467,18894
433,481,384,393,356,18673
519,545,407,456,500,18865
510,492,435,458,439,18734
481,571,452,472,437,18796
444,504,423,432,395,18711
457,549,457,522,450,18910
433,600,517,488,519,18836
442,619,516,592,563,18849
373,557,448,382,404,18739
399,547,402,451,412,18759
464,542,457,453,441,18797
460,512,388,396,445,18919
422,518,421,554,507,18972
397,516,428,466,489,18977
427,570,512,485,482,19207
426,523,456,451,520,19128
426,452,409,467,489,19048
421,540,474,448,427,18783
356,502,415,449,447,18834
461,564,494,473,511,18903
399,545,551,557,511,19151
432,530,499,421,427,18889
456,553,471,548,594,19084
372,532,503,461,440,18967
391,522,425,491,445,18884
350,561,485,447,441,18871
372,566,434,516,436,18800
435,557,385,526,487,18838
386,554,437,520,482,18744
405,555,501,444,452,18704
406,655,582,513,509,18743
439,499,373,406,444,18604
384,463,379,377,404,18711
384,603,445,506,455,18793
352,481,403,391,389,19023
426,513,471,441,503,18897
405,539,470,508,450,18952
410,599,488,506,520,18886
418,546,553,471,467,19042
442,471,495,444,477,18822
406,509,497,401,422,18925
420,515,522,421,471,18917
374,517,517,482,480,18870
405,546,499,509,518,18996
401,524,461,457,479,18986
422,505,386,442,406,18952
409,567,477,492,514,18943
361,639,537,525,471,18956
433,490,362,353,346,18838
404,574,463,520,499,19039
401,485,426,407,411,18968
407,575,468,431,479,18987
399,572,455,457,497,18855
412,538,395,428,585,18898
491,532,466,469,450,18838
437,578,512,479,519,18855
339,484,406,404,444,18722
394,475,418,475,489,18903
416,592,537,483,543,18870
410,529,496,438,431,18879
374,591,434,484,491,19055
426,578,485,444,461,19015
401,472,386,444,452,19138
411,565,458,394,395,19012
378,499,406,390,403,18970
373,528,398,441,477,18913
453,504,356,409,412,18711
416,485,405,394,438,18752
367,557,409,470,465,18795
464,546,394,532,441,18823
460,596,495,637,547,18890
421,496,411,405,457,18781
436,522,499,455,452,18707
437,558,439,455,496,18913
366,638,510,483,487,18836
390,664,540,544,543,19012
400,606,538,553,560,19001
431,594,560,471,538,18976
421,437,344,362,402,18946
431,534,527,510,457,19111
409,441,330,354,374,18921
392,584,479,494,495,19016
325,604,478,544,516,18997
422,504,409,439,419,18816
360,453,361,364,414,18825
404,501,411,450,404,18777
454,545,461,492,531,18801
356,469,427,355,385,18640
423,511,449,448,478,18827
419,627,444,483,502,18901
470,542,438,460,406,68470
472,619,453,578,541,19171
503,666,444,507,564,18999
459,493,460,483,458,18791
394,486,398,376,408,18675
405,578,517,509,537,18846
400,562,479,471,497,18772
390,508,408,440,440,18793
430,578,513,507,508,18928
445,504,393,350,399,18792
381,495,477,437,448,18744
371,543,437,443,455,18856
431,496,382,467,420,18827
399,599,459,494,487,18792
424,527,479,496,612,18935
444,460,354,371,375,18730
