ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
4926194,24547555,10911241,17314237,22931320,29010629
5441972,26989850,11776269,19608728,26862915,32753310
4440771,24901476,11037635,17148180,22659350,26963169
3862391,22838144,12720779,18196648,23012891,27293170
3862582,23153835,11700357,18183390,22782109,27221608
3869801,22727353,10819817,17163388,22604661,27043341
3854512,22934963,10813685,17382330,22614500,27097646
3869294,22697105,10814805,17469346,22609595,28381230
4161396,22838354,10882737,17152692,22579972,27167106
3890967,22739471,10920266,17472614,22624023,28395003
4189037,24983112,10937071,17148986,22725874,27111846
3874301,22735189,10839645,17467317,22641399,27252500
3851313,23197240,11664543,18284154,22627081,27181487
3886110,22938575,10853157,17136488,23299396,27146164
3916541,23030137,11346055,17073976,22695315,27028585
3850547,22956054,10804560,17200145,22608613,27049465
3850697,22799665,10854723,17120274,23047759,27512261
3862943,22751087,10828905,17136481,22582035,26986237
3853817,23240898,10879370,17178755,22636062,27088444
3873062,23637603,11136582,17275569,22600826,27074510
3859222,22820640,10800652,17360088,22640958,27045133
3852200,24204621,11478093,17367458,22593220,27050679
3887103,22779224,10803549,17326774,22596162,27469781
3856740,23077274,10838269,17287789,22610120,27739778
3876244,24345921,11383477,17848339,23564202,28226626
4320434,23700472,11321215,17949108,23484306,28141025
4077994,23510288,10912507,17470863,22858422,27168318
3863364,22843170,10853397,17673280,22974430,27046341
3861305,23109449,10843264,17176350,22715942,27114951
3876858,23887013,10787597,17175849,22645764,27746317
4179006,23559654,10809438,17148431,22590620,27035191
3870757,22682430,10807764,17274461,22601822,27042720
3852806,23628228,10887752,17148767,22657681,27041661
3864644,22741639,10802471,17299107,22640220,27008532
3874590,23039316,10829956,17866255,22622570,27049438
3869750,22950186,10806067,17168268,22581111,27047278
3847560,22658401,10817739,17242652,22598599,28136005
3881248,22870807,10842801,17207321,22618419,27037110
3850519,22864297,10816265,17099963,22634627,28363632
4180876,22900813,10834709,17322708,22591186,27019099
3867711,22810469,10841871,17123590,22592989,27015316
3877169,22914774,10796412,17620048,23235989,27112947
3883350,22904921,10853991,17263311,22607916,27043976
3866522,22839548,11705131,18379492,22769858,27102953
3856253,22831305,10819543,17340999,22598684,27031282
3881757,22784057,10834177,17146140,22574498,27071413
3941094,23361033,10829352,17191113,22582579,27314009
3895683,22885458,10837148,17356401,22713950,27696098
3872386,22862305,10830926,17143650,22919251,27111017
3872023,22919023,10820444,17183479,22625805,27038692
3869732,22663779,10823064,17314013,23416054,27170815
3856227,22936008,10826377,17226619,22595106,27005847
3868622,23467912,10911851,17302510,22630414,27021564
3882461,22820086,10810191,17701961,22603562,27021303
3856452,22758419,10874037,17151376,22606970,27195148
3995100,23078928,10890272,17251325,22613693,27047684
3858259,23012152,10845143,17248046,23576330,27272564
3866195,22896981,10829007,17174798,22599408,27068843
3859550,22833402,10835134,17209623,22622181,27000967
3852280,22875447,10933325,17948604,22642813,27058726
3858998,22812110,10816303,17259632,22589227,26984096
3868170,24564678,11027318,17191866,22657369,27004582
3872220,22652154,10824589,17221295,22584304,27083500
3869372,22903857,10825709,17116267,22609920,28035449
3891596,22971454,10809534,17241713,22615802,27026986
3861979,22871685,10818981,17201411,22981490,27071329
3895506,22804958,10870988,17246682,22616357,27000518
3887774,22699414,10864198,17273081,22587319,27321164
3864735,23280612,11414409,17226176,22661546,27040372
3862370,22661847,10825088,17209718,22589291,27044743
4180930,22886877,10817468,17323970,22599719,26990034
3858216,22802255,10833270,17175585,22617345,27028581
3871276,22938507,10808549,17096354,22702451,27873856
3873647,22757095,10808510,17132245,22607812,26991261
3880038,22818390,10839209,17770665,23948198,27036028
3881473,22802045,10818872,17290274,22619080,26996156
3858657,22939353,10815264,17167488,22644029,27070855
3860730,23272161,10983280,17174405,22663783,27045974
