ir_sort,std::sort,boost::sort::spreadsort::integer_sort,boost::sort::pdqsort,boost::sort::spinsort,boost::sort::flat_stable_sort
1829,1829,3548,1920,3133,3092,52542
1353,1353,2536,1428,1654,1744,31899
1393,1393,1574,1313,1734,1915,30931
1217,1217,1583,1068,1523,1519,30621
957,957,1579,1228,1298,1363,30260
1273,1273,1985,1483,1709,1594,30480
1022,1022,1704,1378,1398,1223,30270
1413,1413,2486,1689,1885,1769,30581
1028,1028,1598,1413,1328,1273,30515
1073,1073,1804,1153,1593,1569,30601
907,907,1488,1354,1393,1423,30486
1243,1243,1574,1107,1544,1503,30431
1188,1188,1684,1483,1589,1759,30576
1053,1053,1669,1698,1544,1739,30711
1002,1002,1419,1388,1343,1433,30476
1043,1043,1714,1618,1519,1553,30681
1067,1067,1584,1539,1373,1393,30320
1193,1193,1884,1684,1558,1739,30470
1228,1228,1939,1528,1629,1724,30466
1187,1187,1739,1344,1428,1318,30350
1113,1113,1608,1484,1553,1348,30396
1002,1002,1534,1448,1544,1573,30706
1143,1143,1584,1428,1508,1464,30380
987,987,1418,1162,1398,1564,30521
1188,1188,1704,1202,1494,1478,30390
892,892,1764,1283,1414,1263,30105
1373,1373,1754,1463,1644,1749,64464
1198,1198,2090,1528,1694,1684,31568
1108,1108,1599,1233,1393,1533,30446
1128,1128,1794,1488,1754,1814,30797
1057,1057,1549,1168,1403,1533,30240
1188,1188,1839,1418,1674,1543,30441
1153,1153,1814,1393,1519,1523,30601
1258,1258,1864,1594,1598,1594,30455
1077,1077,1583,1474,1533,1469,30505
1168,1168,1784,1338,1508,1499,30265
992,992,1614,1368,1343,1469,30385
1173,1173,1759,1729,1559,1468,30806
942,942,1448,1373,1318,1534,30706
952,952,1609,1679,1468,1564,30696
1037,1037,1568,1413,1439,1583,30807
1072,1072,1830,1689,1623,1674,30621
1017,1017,1754,1638,1444,1613,30606
1052,1052,1709,1603,1459,1498,30541
1222,1222,1785,1443,1729,1473,30641
997,997,1469,1463,1208,1248,30420
1228,1228,1673,1679,1704,1584,30480
1132,1132,1869,1498,1669,1774,30721
1258,1258,1498,1113,1433,1564,30485
1043,1043,1779,1433,1509,1653,30561
1013,1013,1734,1603,1479,1493,30551
1038,1038,1583,1278,1529,1363,30480
1213,1213,1644,1193,1734,1418,30456
1067,1067,1584,1087,1469,1313,30425
928,928,1553,1268,1318,1178,30350
1018,1018,1513,1303,1574,1524,30675
1073,1073,1629,1458,1328,1403,30446
1103,1103,1669,1468,1429,1458,30475
1013,1013,1964,1624,1634,1634,30766
1112,1112,1504,1152,1388,1403,30395
1088,1088,1704,1298,1749,1333,30495
1003,1003,1593,1519,1448,1453,30391
1248,1248,1689,1438,1408,1549,30786
927,927,1689,1504,1614,1454,30415
1047,1047,1664,1554,1488,1704,30681
1203,1203,1729,1398,1810,1613,30681
1198,1198,1669,1247,1424,1308,30405
957,957,1518,1358,1203,1388,30345
1233,1233,1719,1438,1594,1478,30621
1118,1118,1859,1433,1484,1423,30501
1103,1103,1709,1488,1539,1684,47553
442,442,694,800,727,715,13786
406,406,623,472,530,591,11111
392,392,616,600,551,547,11158
338,338,601,434,503,503,11093
342,342,588,500,467,436,11060
447,447,645,535,552,583,11140
474,474,653,537,643,580,11131
363,363,567,395,431,466,10984
440,440,627,547,622,621,11075
452,452,700,585,691,685,11173
403,403,656,512,576,570,11241
353,353,578,472,505,437,10988
359,359,554,491,528,529,11090
372,372,603,502,587,558,11064
347,347,564,443,521,563,11007
423,423,653,534,594,565,11225
332,332,559,428,528,503,11078
390,390,594,501,503,456,11049
343,343,545,435,518,578,11075
384,384,631,527,532,520,11080
443,443,638,523,617,580,11176
392,392,653,522,497,505,11195
401,401,641,601,613,595,11109
419,419,652,485,574,565,11057
377,377,587,449,527,596,11003
416,416,581,498,503,549,11105
381,381,594,467,532,507,11076
390,390,584,415,538,560,11095
350,350,572,466,545,484,11082
374,374,576,476,510,514,11035
350,350,640,449,520,549,10200
346,346,654,426,512,489,10249
337,337,566,466,426,451,10046
298,298,492,386,375,408,10079
330,330,475,383,426,419,10157
411,411,678,531,636,10924,11115
386,386,540,436,566,589,11264
328,328,523,421,455,474,18304
370,370,695,562,621,577,10263
352,352,572,388,551,497,10116
303,303,586,550,477,496,10163
252,252,527,517,433,453,10138
327,327,612,431,527,511,10171
396,396,581,517,552,566,10179
337,337,546,472,478,481,10222
332,332,500,410,455,442,10128
324,324,559,455,480,511,10161
384,384,603,431,564,561,10185
375,375,568,459,447,481,10191
348,348,501,390,471,451,10111
335,335,635,414,444,475,10099
342,342,534,462,449,477,10090
348,348,541,481,490,463,10098
390,390,607,479,537,554,10113
334,334,527,511,416,485,10091
361,361,541,415,559,496,10098
345,345,579,571,500,557,10244
322,322,510,368,422,434,10038
357,357,638,570,544,551,10162
341,341,593,493,529,451,10097
425,425,552,500,559,571,10267
305,305,482,392,441,471,10157
320,320,450,335,377,441,10017
360,360,565,421,504,541,10095
375,375,605,428,464,454,10118
344,344,586,492,475,506,10130
399,399,597,500,554,563,10191
348,348,481,377,487,471,10067
365,365,550,411,441,448,10110
317,317,521,419,427,461,10032
335,335,556,465,452,445,9075
355,355,520,482,594,632,9195
297,297,534,523,407,449,9078
296,296,509,455,447,409,9134
285,285,470,405,366,384,8972
331,331,483,367,404,410,9044
285,285,445,371,416,428,9042
329,329,465,370,432,418,8982
352,352,498,384,455,422,9017
333,333,464,382,446,396,9011
261,261,487,383,384,421,8906
333,333,543,446,502,497,9091
286,286,444,372,388,386,9022
279,279,480,365,379,374,8965
294,294,547,410,462,475,9029
291,291,419,331,452,387,8929
310,310,446,357,482,441,9089
316,316,461,346,383,399,8949
351,351,507,417,428,427,9025
304,304,473,357,443,473,9038
342,342,462,392,461,427,9100
296,296,460,488,410,420,9002
351,351,511,414,477,485,9049
288,288,527,465,507,440,8934
313,313,454,421,410,431,9021
346,346,461,390,503,490,9062
271,271,443,450,413,480,9061
